hour	count
1352268000	23
1352271600	34
1352275200	43
1352278800	70
1352282400	112
1352286000	114
1352289600	215
1352293200	140
1352296800	87
1352300400	58
1352304000	52
1352307600	19
1352311200	10
1352314800	3
1352318400	2
1352322000	29
1352325600	21
1352329200	15
1352332800	38
1352336400	37
1352340000	26
1352343600	26
1352347200	31
1352350800	42
1352354400	26
1352358000	42
1352361600	33
1352365200	57
1352368800	38
1352372400	36
1352376000	56
1352379600	47
1352383200	35
1352386800	35
1352390400	7
1352394000	6
1352397600	10
1352401200	3
1352404800	3
1352408400	2
1352412000	15
1352415600	11
1352419200	26
1352422800	31
1352426400	42
1352430000	35
1352433600	48
1352437200	37
1352440800	41
1352444400	35
1352448000	37
1352451600	54
1352455200	62
1352458800	40
1352462400	33
1352466000	52
1352469600	31
1352473200	20
1352476800	21
1352480400	5
1352484000	9
1352487600	4
1352491200	2
1352494800	8
1352498400	13
1352502000	8
1352505600	19
1352509200	39
1352512800	33
1352516400	32
1352520000	27
1352523600	38
1352527200	35
1352530800	32
1352534400	35
1352538000	40
1352541600	47
1352545200	44
1352548800	59
1352552400	52
1352556000	50
1352559600	31
1352563200	20
1352566800	20
1352570400	5
1352574000	7
1352577600	5
1352581200	4
1352584800	11
1352588400	2
1352592000	31
1352595600	44
1352599200	41
1352602800	42
1352606400	52
1352610000	31
1352613600	55
1352617200	51
1352620800	75
1352624400	87
1352628000	76
1352631600	91
1352635200	73
1352638800	78
1352642400	67
1352646000	50
